Number,Name,Country,Region,Type,ActivityEvidence,LastKnownEruption,Latitude,Longitude,Elevation(Meters),DominantRockType,TectonicSetting
305011,Arshan,China,Kamchatka and Mainland Asia,Pyroclastic cone,Eruption Dated,0,47.5,120.7,1677,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
231040,"Lunayyir, Harrat",Saudi Arabia,Middle East and Indian Ocean,Volcanic field,Eruption Observed,1000,25.17,37.75,1370,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
306040,Halla,South Korea,Kamchatka and Mainland Asia,Shield,Eruption Observed,1007,33.361,126.53,1919,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
327040,Markagunt Plateau,United States,Canada and Western USA,Volcanic field,Evidence Credible,1050,37.58,-112.67,2840,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
323020,Medicine Lake,United States,Canada and Western USA,Shield,Eruption Dated,1060,41.611,-121.554,2412,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
344092,Nejapa-Miraflores,Nicaragua,México and Central America,Fissure vent,Eruption Dated,1060,12.12,-86.32,360,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
329020,San Francisco Volcanic Field,United States,Canada and Western USA,Pyroclastic cone,Eruption Dated,1075,35.347,-111.678,3850,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
285081,Mashu,Japan,"Japan, Taiwan, Marianas",Caldera,Eruption Dated,1080,43.572,144.561,857,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
358022,Yate,Chile,South America,Stratovolcano,Eruption Dated,1090,-41.755,-72.396,2187,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
329010,Uinkaret Field,United States,Canada and Western USA,Volcanic field,Eruption Dated,1100,36.38,-113.13,1555,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
341096,Cofre de Perote,Mexico,México and Central America,Shield,Eruption Dated,1150,19.492,-97.15,4282,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
353011,Ecuador,Ecuador,South America,Shield,Eruption Dated,1150,-0.02,-91.546,790,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
241060,Reporoa,New Zealand,New Zealand to Fiji,Caldera,Eruption Dated,1180,-38.42,176.33,592,Rhyolite,Subduction Zone / Continental Crust (>25 km)
